"aha-compress","1492","260","86024"
"aha-mont64","1828","260","86048"
"bs","856","380","86024"
"bubblesort","1388","260","86432"
"cnt","988","260","86444"
"compress","2040","308","88548"
"cover","860","260","86024"
"crc","1360","260","86796"
"crc32","2512","260","86040"
"ctl-stack","1808","260","86056"
"ctl-string","6860","260","86064"
"ctl-vector","6768","260","86068"
"cubic","17112","264","86024"
"dijkstra","2156","660","86556"
"dtoa","11668","284","88380"
"duff","992","260","86224"
"edn","3624","260","87636"
"expint","1044","260","86036"
"fac","848","260","86024"
"fasta","5512","416","86024"
"fdct","1668","388","86024"
"fibcall","824","260","86024"
"fir","3888","260","86024"
"frac","6056","340","86024"
"huffbench","2472","264","86040"
"insertsort","1008","260","86068"
"janne_complex","848","260","86032"
"jfdctint","1828","260","86280"
"lcdnum","864","260","86026"
"levenshtein","1128","280","86024"
"ludcmp","6432","260","86364"
"matmult-float","6092","260","87228"
"matmult-int","2716","260","90828"
"mergesort","7920","260","86840"
"miniz","24068","264","88440"
"minver","6276","296","86176"
"nbody","6804","584","86024"
"ndes","3124","268","86400"
"nettle-arcfour","1200","260","86300"
"nettle-cast128","15976","260","86124"
"nettle-des","8112","260","86168"
"nettle-md5","2764","340","86024"
"newlib-exp","5948","260","86028"
"newlib-log","828","260","86028"
"newlib-mod","5752","260","86028"
"newlib-sqrt","5760","260","86072"
"ns","780","260","86024"
"nsichneu","15028","268","86084"
"picojpeg","9136","260","88384"
"prime","920","260","86036"
"qrduino","8024","260","86080"
"qsort","5800","340","86424"
"qurt","5872","296","86052"
"recursion","856","260","86032"
"rijndael","17348","272","86052"
"select","5732","340","86032"
"sglib-arraybinsearch","880","660","86028"
"sglib-arrayheapsort","1072","660","86424"
"sglib-arrayquicksort","1128","660","86424"
"sglib-dllist","1768","660","86040"
"sglib-hashtable","1644","660","86120"
"sglib-listinsertsort","1464","660","86040"
"sglib-listsort","1468","660","86040"
"sglib-queue","1096","660","86024"
"sglib-rbtree","2076","660","86040"
"slre","3380","324","86024"
"sqrt","5608","260","86024"
"st","6624","264","87652"
"statemate","5940","260","86268"
"stb_perlin","9176","452","86024"
"stringsearch1","2400","364","90672"
"strstr","1048","268","86024"
"tarai","936","260","86036"
"template","780","260","86024"
"trio-snprintf","6368","260","86024"
"trio-sscanf","5320","264","86560"
"ud","5900","260","87788"
"whetstone","9056","264","86100"
"wikisort","10348","264","89240"
