"aha-compress","920","0","86016"
"aha-mont64","1256","0","86040"
"bs","176","120","86016"
"bubblesort","708","0","86424"
"cnt","416","0","86436"
"compress","1468","48","88540"
"cover","180","0","86016"
"crc","788","0","86788"
"crc32","1940","244","86032"
"ctl-stack","1236","244","86048"
"ctl-string","6288","244","86056"
"ctl-vector","6196","244","86060"
"cubic","16540","248","86016"
"dijkstra","1584","644","86548"
"dtoa","11096","268","88372"
"duff","312","0","86216"
"edn","3052","0","87628"
"expint","472","0","86028"
"fac","168","0","86016"
"fasta","4940","156","86016"
"fdct","1096","128","86016"
"fibcall","144","0","86016"
"fir","3208","0","86016"
"frac","5484","80","86016"
"huffbench","1900","248","86032"
"insertsort","328","0","86060"
"janne_complex","168","0","86024"
"jfdctint","1148","0","86272"
"lcdnum","183","0","86020"
"levenshtein","556","20","86016"
"ludcmp","5860","0","86356"
"matmult-float","5520","0","87220"
"matmult-int","2036","0","90820"
"mergesort","7348","244","86832"
"miniz","23504","248","88432"
"minver","5704","36","86168"
"nbody","6232","568","86016"
"ndes","2552","8","86392"
"nettle-arcfour","628","0","86292"
"nettle-cast128","15404","0","86116"
"nettle-des","7540","0","86160"
"nettle-md5","2192","80","86016"
"newlib-exp","5376","0","86020"
"newlib-log","148","0","86020"
"newlib-mod","5180","0","86020"
"newlib-sqrt","5188","0","86064"
"ns","100","0","86016"
"nsichneu","14348","8","86076"
"picojpeg","8564","0","88376"
"prime","240","0","86028"
"qrduino","7452","244","86072"
"qsort","5228","80","86416"
"qurt","5300","36","86044"
"recursion","176","0","86024"
"rijndael","16776","256","86044"
"select","5160","80","86024"
"sglib-arraybinsearch","200","400","86020"
"sglib-arrayheapsort","392","400","86416"
"sglib-arrayquicksort","448","400","86416"
"sglib-dllist","1196","644","86032"
"sglib-hashtable","1072","644","86112"
"sglib-listinsertsort","892","644","86032"
"sglib-listsort","896","644","86032"
"sglib-queue","416","400","86016"
"sglib-rbtree","1504","644","86032"
"slre","2808","64","86016"
"sqrt","5036","0","86016"
"st","6052","248","87644"
"statemate","5368","0","86260"
"stb_perlin","8604","192","86016"
"stringsearch1","1832","348","90664"
"strstr","368","8","86016"
"tarai","364","0","86028"
"template","100","0","86016"
"trio-snprintf","5796","244","86016"
"trio-sscanf","4748","248","86552"
"ud","5328","0","87780"
"whetstone","8484","248","86092"
"wikisort","9776","248","89232"
