"aha-compress","4804","524","216"
"aha-mont64","5072","524","244"
"bs","4232","644","216"
"bubblesort","4744","524","628"
"cnt","4360","524","636"
"compress","5372","572","2844"
"cover","4248","524","216"
"crc","4704","524","988"
"crc32","5456","524","216"
"ctl-stack","4760","524","236"
"ctl-string","6780","524","244"
"ctl-vector","6704","524","248"
"cubic","17736","528","216"
"dijkstra","5084","924","732"
"dtoa","12308","548","2556"
"duff","4356","524","416"
"edn","6924","524","1828"
"expint","4432","524","228"
"fac","4228","524","216"
"fasta","4876","680","216"
"fdct","5040","652","216"
"fibcall","4216","524","216"
"fir","7276","524","216"
"frac","7148","604","216"
"huffbench","5308","528","216"
"insertsort","4364","524","260"
"janne_complex","4236","524","224"
"jfdctint","5144","524","472"
"lcdnum","4244","524","220"
"levenshtein","4480","544","216"
"ludcmp","6744","524","556"
"matmult-float","6384","524","1420"
"matmult-int","6080","524","5020"
"mergesort","8596","524","1016"
"miniz","24638","528","2616"
"minver","6528","560","404"
"nbody","7852","848","216"
"ndes","6392","532","592"
"nettle-arcfour","4532","524","492"
"nettle-cast128","18312","524","316"
"nettle-des","11256","524","360"
"nettle-md5","5916","604","216"
"newlib-exp","6264","524","220"
"newlib-log","4216","524","220"
"newlib-mod","5204","524","220"
"newlib-sqrt","6032","524","264"
"ns","4168","524","216"
"nsichneu","19492","532","276"
"picojpeg","12000","524","2572"
"prime","4304","524","228"
"qrduino","11388","524","264"
"qsort","4796","604","616"
"qurt","8232","560","244"
"recursion","4232","524","224"
"rijndael","16560","536","228"
"select","4720","604","224"
"sglib-arraybinsearch","4256","924","220"
"sglib-arrayheapsort","4384","924","616"
"sglib-arrayquicksort","4448","924","616"
"sglib-dllist","4672","924","216"
"sglib-hashtable","4548","924","296"
"sglib-listinsertsort","4392","924","216"
"sglib-listsort","4420","924","216"
"sglib-queue","4384","924","216"
"sglib-rbtree","4976","924","216"
"slre","6548","588","216"
"sqrt","8332","524","216"
"st","7680","528","1852"
"statemate","8536","524","508"
"stb_perlin","11024","716","216"
"stringsearch1","5324","628","4848"
"strstr","4400","532","216"
"tarai","4308","524","228"
"template","4168","524","216"
"trio-snprintf","9132","524","216"
"trio-sscanf","8820","528","752"
"ud","5588","524","1980"
"whetstone","10100","528","304"
"wikisort","11376","528","3416"
