"aha-compress","714","0","0"
"aha-mont64","978","0","24"
"bs","142","120","0"
"bubblesort","654","0","412"
"cnt","270","0","420"
"compress","1280","45","2628"
"cover","158","0","0"
"crc","614","0","770"
"crc32","4600","244","188"
"ctl-stack","3904","244","208"
"ctl-string","5920","244","216"
"ctl-vector","5844","244","220"
"cubic","13680","248","0"
"dijkstra","4228","644","704"
"dtoa","11448","268","2532"
"duff","266","0","202"
"edn","2834","0","1612"
"expint","342","0","12"
"fac","138","0","0"
"fasta","788","156","0"
"fdct","950","128","0"
"fibcall","126","0","0"
"fir","3186","0","0"
"frac","3064","80","0"
"huffbench","4452","248","188"
"insertsort","274","0","44"
"janne_complex","146","0","8"
"jfdctint","1054","0","256"
"lcdnum","153","0","3"
"levenshtein","407","20","0"
"ludcmp","2656","0","340"
"matmult-float","2296","0","1204"
"matmult-int","1990","0","4804"
"mergesort","7744","244","988"
"miniz","23770","248","2588"
"minver","2440","36","188"
"nbody","3777","568","0"
"ndes","2302","8","376"
"nettle-arcfour","442","0","276"
"nettle-cast128","14222","0","100"
"nettle-des","7166","0","144"
"nettle-md5","1826","80","0"
"newlib-exp","2176","0","4"
"newlib-log","126","0","4"
"newlib-mod","1116","0","4"
"newlib-sqrt","1944","0","48"
"ns","78","0","0"
"nsichneu","15402","8","60"
"picojpeg","7910","0","2356"
"prime","214","0","12"
"qrduino","10532","244","236"
"qsort","708","80","400"
"qurt","4144","36","28"
"recursion","144","0","8"
"rijndael","15704","256","200"
"select","632","80","8"
"sglib-arraybinsearch","166","400","4"
"sglib-arrayheapsort","294","400","400"
"sglib-arrayquicksort","358","400","400"
"sglib-dllist","3816","644","188"
"sglib-hashtable","3692","644","268"
"sglib-listinsertsort","3536","644","188"
"sglib-listsort","3564","644","188"
"sglib-queue","294","400","0"
"sglib-rbtree","4120","644","188"
"slre","2472","62","0"
"sqrt","4248","0","0"
"st","3597","248","1632"
"statemate","4446","0","292"
"stb_perlin","6940","192","0"
"stringsearch1","4468","348","4820"
"strstr","309","8","0"
"tarai","220","0","12"
"template","78","0","0"
"trio-snprintf","5093","244","0"
"trio-sscanf","4760","248","536"
"ud","1500","0","1764"
"whetstone","6028","248","84"
"wikisort","10524","248","3388"
