"aha-compress","714","0","0"
"aha-mont64","978","0","24"
"bs","142","120","0"
"bubblesort","630","0","412"
"cnt","270","0","420"
"compress","1280","45","2628"
"cover","158","0","0"
"crc","614","0","770"
"crc32","1162","0","0"
"ctl-stack","644","0","20"
"ctl-string","2374","0","40"
"ctl-vector","2512","0","32"
"cubic","13656","1","12"
"dijkstra","944","400","516"
"dtoa","8164","24","2356"
"duff","266","0","202"
"edn","2810","0","1612"
"expint","342","0","12"
"fac","138","0","0"
"fasta","788","156","0"
"fdct","926","128","0"
"fibcall","126","0","0"
"fir","3186","0","0"
"frac","3064","80","0"
"huffbench","1195","4","0"
"insertsort","274","0","44"
"janne_complex","146","0","8"
"jfdctint","1030","0","256"
"lcdnum","153","0","3"
"levenshtein","395","20","0"
"ludcmp","2632","0","340"
"matmult-float","2272","0","1204"
"matmult-int","1966","0","4804"
"mergesort","4292","0","800"
"miniz","16822","4","2400"
"minver","2440","36","188"
"nbody","3765","321","12"
"ndes","2302","8","376"
"nettle-arcfour","442","0","276"
"nettle-cast128","14198","0","100"
"nettle-des","7166","0","144"
"nettle-md5","1826","80","0"
"newlib-exp","2176","0","4"
"newlib-log","126","0","4"
"newlib-mod","1116","0","4"
"newlib-sqrt","1944","0","48"
"ns","78","0","0"
"nsichneu","15402","8","60"
"picojpeg","7886","0","2356"
"prime","214","0","12"
"qrduino","7168","0","48"
"qsort","708","80","400"
"qurt","4144","36","28"
"recursion","144","0","8"
"rijndael","12270","12","12"
"select","632","80","8"
"sglib-arraybinsearch","166","400","4"
"sglib-arrayheapsort","294","400","400"
"sglib-arrayquicksort","358","400","400"
"sglib-dllist","556","400","0"
"sglib-hashtable","432","400","80"
"sglib-listinsertsort","276","400","0"
"sglib-listsort","304","400","0"
"sglib-queue","294","400","0"
"sglib-rbtree","860","400","0"
"slre","2157","62","12"
"sqrt","4248","0","0"
"st","3585","1","1644"
"statemate","4446","0","292"
"stb_perlin","6940","192","0"
"stringsearch1","866","104","4632"
"strstr","309","8","0"
"tarai","220","0","12"
"template","78","0","0"
"trio-snprintf","4524","0","12"
"trio-sscanf","4185","4","548"
"ud","1500","0","1764"
"whetstone","6016","1","96"
"wikisort","7013","1","3212"
