"aha-compress","1642","260","28"
"aha-mont64","2004","260","52"
"bs","1068","380","28"
"bubblesort","1766","260","440"
"cnt","1176","260","448"
"compress","2230","308","2656"
"cover","1086","260","28"
"crc","1660","260","798"
"crc32","2838","260","44"
"ctl-stack","2084","260","64"
"ctl-string","6007","260","72"
"ctl-vector","5906","260","76"
"cubic","35206","880","28"
"dijkstra","2648","660","560"
"dtoa","14824","284","2388"
"duff","1250","260","228"
"edn","4138","260","1640"
"expint","1310","260","40"
"fac","1062","260","28"
"fasta","2276","416","28"
"fdct","2202","388","28"
"fibcall","1040","260","28"
"fir","4134","260","28"
"frac","8384","340","28"
"huffbench","3238","264","44"
"insertsort","1392","260","72"
"janne_complex","1052","260","36"
"jfdctint","2262","260","284"
"lcdnum","1099","260","32"
"levenshtein","1384","280","28"
"ludcmp","5990","260","368"
"matmult-float","4666","260","1232"
"matmult-int","3160","260","4832"
"mergesort","10380","260","844"
"miniz","26826","264","2444"
"minver","5552","296","216"
"nbody","8886","584","28"
"ndes","3536","268","404"
"nettle-arcfour","1630","260","304"
"nettle-cast128","17320","260","128"
"nettle-des","9614","260","172"
"nettle-md5","3662","340","28"
"newlib-exp","5266","260","32"
"newlib-log","1068","260","32"
"newlib-mod","3014","260","32"
"newlib-sqrt","5046","260","76"
"ns","994","260","28"
"nsichneu","16464","268","88"
"picojpeg","10560","260","2396"
"prime","1114","260","40"
"qrduino","9358","260","92"
"qsort","1718","340","428"
"qurt","8462","296","56"
"recursion","1074","260","36"
"rijndael","20048","272","56"
"select","1650","340","36"
"sglib-arraybinsearch","1102","660","32"
"sglib-arrayheapsort","1302","660","428"
"sglib-arrayquicksort","1320","660","428"
"sglib-dllist","2014","660","44"
"sglib-hashtable","1918","660","124"
"sglib-listinsertsort","1738","660","44"
"sglib-listsort","1758","660","44"
"sglib-queue","1308","660","28"
"sglib-rbtree","2416","660","44"
"slre","3923","324","28"
"sqrt","8330","260","28"
"st","8802","264","1664"
"statemate","4900","260","320"
"stb_perlin","11146","460","28"
"stringsearch1","2964","364","4676"
"strstr","1254","268","28"
"tarai","1132","260","40"
"template","994","260","28"
"trio-snprintf","8235","320","28"
"trio-sscanf","7035","264","564"
"ud","3594","260","1792"
"whetstone","11728","504","116"
"wikisort","13354","264","3244"
