"aha-compress","714","0","0"
"aha-mont64","1080","0","24"
"bs","140","120","0"
"bubblesort","838","0","412"
"cnt","254","0","420"
"compress","1302","45","2628"
"cover","158","0","0"
"crc","734","0","770"
"crc32","1916","244","16"
"ctl-stack","1162","244","36"
"ctl-string","5077","244","44"
"ctl-vector","4976","244","48"
"cubic","34442","864","0"
"dijkstra","1726","644","532"
"dtoa","13890","268","2356"
"duff","332","0","200"
"edn","3212","0","1612"
"expint","384","0","12"
"fac","134","0","0"
"fasta","1348","156","0"
"fdct","1274","128","0"
"fibcall","112","0","0"
"fir","3206","0","0"
"frac","7448","80","0"
"huffbench","2468","248","16"
"insertsort","470","0","44"
"janne_complex","128","0","8"
"jfdctint","1342","0","256"
"lcdnum","175","0","5"
"levenshtein","456","20","0"
"ludcmp","5072","0","340"
"matmult-float","3734","0","1204"
"matmult-int","2212","0","4804"
"mergesort","9450","244","816"
"miniz","26096","252","2416"
"minver","4616","36","188"
"nbody","7956","568","0"
"ndes","2608","8","376"
"nettle-arcfour","708","0","276"
"nettle-cast128","16392","0","100"
"nettle-des","8684","0","144"
"nettle-md5","2726","80","0"
"newlib-exp","4332","0","4"
"newlib-log","142","0","4"
"newlib-mod","2084","0","4"
"newlib-sqrt","4118","0","48"
"ns","66","0","0"
"nsichneu","15536","8","60"
"picojpeg","9624","0","2368"
"prime","194","0","12"
"qrduino","8594","244","64"
"qsort","790","80","400"
"qurt","7526","36","28"
"recursion","152","0","8"
"rijndael","19286","256","28"
"select","722","80","8"
"sglib-arraybinsearch","174","400","4"
"sglib-arrayheapsort","376","400","400"
"sglib-arrayquicksort","394","400","400"
"sglib-dllist","1092","644","16"
"sglib-hashtable","996","644","96"
"sglib-listinsertsort","816","644","16"
"sglib-listsort","836","644","16"
"sglib-queue","380","400","0"
"sglib-rbtree","1494","644","16"
"slre","2985","62","0"
"sqrt","7394","0","0"
"st","7872","248","1632"
"statemate","3980","0","292"
"stb_perlin","10212","192","0"
"stringsearch1","2062","348","4648"
"strstr","328","8","0"
"tarai","212","0","12"
"template","66","0","0"
"trio-snprintf","7533","244","0"
"trio-sscanf","6273","248","536"
"ud","2664","0","1764"
"whetstone","10798","488","84"
"wikisort","12418","248","3216"
